ID,Company,Year,NUM_OF_EMPLOYEES,NET_ASSETS,NET_INCOME,SALES_REV_TURN,HISTORICAL_MARKET_CAP,ESG_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,TOT_GHG_CO2_EM_INTENS_PER_SALES,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_ON_BOARD,ROBECOSAM_TOTAL_STBLY_RANK,ROBECOSAM_SOCIAL_DIMENSION_RANK,ROBECOSAM_ENV_DIMENSION_RANK,ROBECOSAM_ECON_DIMENSION_RANK,Twitter_Username,followers_countÿ,friends_countÿ ,created_at,Tweets,Likes,Retweets,Images,Proportion relevant,likes per relevant,retweets per relevant,FB Posts,Likes,Shares,FB Images,FB Proportion relevant,FB likes per relevant,FB shares per relevant
11,NOC US EQUITY,2018,85000,8187,3229,30095,41781.7366,59.0909,75,49.6124,64.9123,16.6017,26.5,30.769,76,84,68,80,@northropgrumman,189835,672,39673.80076,77.67,43.72,12.64,61.58798283,0.321888412,10.33333333,4,45.41666667,125.3706422,31.02568807,52.47706422,0.366972477,52,8
12,OC US EQUITY,2016,16000,3889,393,5677,5810.812,73.9669,69.6429,77.5194,70.1754,697.1904,18.71,25,100,100,77,100,@OwensCorning,17256,11,39876.64924,58.75,6.53,1.93,16.17021277,1.134751773,11.375,6.875,12.66666667,27.01973684,5.631578947,44.07894737,8.552631579,20.53846154,8.230769231
12,OC US EQUITY,2017,17000,4204,289,6384,10251.31,76.8595,75,78.2946,75.4386,608.3114,19,18.182,100,100,100,100,@OwensCorning,17256,11,39876.64924,110.17,4,0.95,18.53252648,1.966717095,6.192307692,2.461538462,13.16666667,64.03164557,8.905063291,60.75949367,6.329113924,69.3,12.3
12,OC US EQUITY,2018,20000,4324,545,7057,4815.81,72.314,75,69.7674,75.4386,619.6486,18.99,30,100,100,100,100,@OwensCorning,17256,11,39876.64924,60.17,5.77,1.44,36.4265928,4.709141274,8.029411765,2.382352941,14.41666667,65.78034682,8.884393064,62.42774566,19.65317919,51.64705882,6.617647059
15,SWK US EQUITY,2016,54023,6373.6,968,11593.5,17497.0797,34.2975,62.5,24.031,29.8246,29.2817,#N/A N/A,25,83,73,81,86,@StanleyBlkDeckr,6602,392,40235.69028,21.92,4.15,1.96,66.15969582,2.661596958,3.142857143,0.857142857,17.08333333,49.28292683,10.64390244,88.29268293,2.926829268,49.16666667,6
15,SWK US EQUITY,2017,57765,8305,1227.3,12966.6,26138.7135,24.7934,57.1429,10.8527,24.5614,#N/A N/A,#N/A N/A,27.273,86,78,86,88,@StanleyBlkDeckr,6602,392,40235.69028,19.83,8.29,2.77,70.58823529,3.361344538,4.875,1.75,15.58333333,100.5294118,16.01604278,57.7540107,6.951871658,64.30769231,7.153846154
15,SWK US EQUITY,2018,60767,7839.9,605.2,13982.4,17979.2701,23.9669,57.1429,9.3023,24.5614,#N/A N/A,#N/A N/A,25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@StanleyBlkDeckr,6602,392,40235.69028,24.67,16.68,4.19,70.94594595,2.702702703,12.625,5.375,15.25,255.5846995,45.50273224,50.27322404,7.103825137,98.84615385,8.538461538
16,GWW US EQUITY,2016,25600,1905.768,605.93,10137.204,13657.3019,42.9752,66.0714,37.2093,33.3333,12.6832,#N/A N/A,9.091,39,50,22,33,@grainger,26263,1239,40343.51684,102.83,12.14,2.8,24.79740681,0.243111831,3.333333333,1,31.08333333,2561.525469,239.7265416,32.97587131,0.268096515,4819,543
16,GWW US EQUITY,2017,24400,1828,586,10425,13307.6939,36.3636,66.0714,20.9302,42.1053,10.6143,#N/A N/A,18.182,63,63,63,50,@grainger,26263,1239,40343.51684,82.42,6.3,1.56,42.9726997,0.101112235,1,0,10.33333333,98.34677419,26.13709677,45.16129032,0.806451613,28,2
16,GWW US EQUITY,2018,24600,2093,782,11221,15773.296,36.3636,66.0714,20.9302,42.1053,9.0919,38,18.182,65,55,60,65,@grainger,26263,1239,40343.51684,34.33,4.68,0.84,25.72815534,0.485436893,4.5,1,5.583333333,72.3880597,9.373134328,64.17910448,0,0,0
17,MAN US EQUITY,2016,28000,2446.4,443.7,19654.1,5951.543,42.562,60.7143,29.4574,54.386,1.8765,65,38.461,89,84,89,89,@ManpowerGroup,10804,1067,40632.14383,0,0,0,0,0,0,0,0.333333333,735.5,30.5,100,0,0,0
17,MAN US EQUITY,2017,29000,2857.6,545.4,21034.3,8332.9962,42.1488,55.3571,31.0078,54.386,1.3728,69,35.714,88,79,79,100,@ManpowerGroup,10804,1067,40632.14383,0,0,0,0,0,0,0,15.16666667,518.8461538,40.88461538,58.79120879,0,0,0
17,MAN US EQUITY,2018,30000,2698.5,556.7,21991.2,3936.6916,49.1736,55.3571,41.8605,59.6491,2.6021,64,41.667,83,74,74,91,@ManpowerGroup,10804,1067,40632.14383,0,0,0,0,0,0,0,11.58333333,89.10071942,17.03597122,57.55395683,0,0,0
18,NLSN US EQUITY,2016,43000,4293,502,6309,14995.6825,35.124,66.0714,20.155,38.5965,#N/A N/A,50,27.273,74,74,63,84,@Nielsen,192318,1530,39686.59854,239.08,5.26,6.58,15.82432903,0.278842802,4.25,6.375,32.75,37.99745547,8.025445293,4.834605598,0.254452926,25,3
18,NLSN US EQUITY,2017,46000,4443,429,6572,12956.3971,36.3636,66.0714,20.155,43.8596,#N/A N/A,48.8,22.222,79,83,75,92,@Nielsen,192318,1530,39686.59854,159.83,5.42,5.04,42.07507821,0.46923879,5.111111111,5.111111111,26.33333333,36.55696203,5.920886076,10.75949367,1.898734177,96.66666667,10.66666667
18,NLSN US EQUITY,2018,46000,3043,-712,6515,8288.4896,30.9917,55.3571,16.2791,40.3509,#N/A N/A,48.3,20,91,87,87,100,@Nielsen,192318,1530,39686.59854,158,4.13,2.73,49.52531646,1.371308017,4.307692308,2.423076923,29.75,17.34173669,3.274509804,26.61064426,6.722689076,14.79166667,2
19,RSG US EQUITY,2016,33000,7693.7,612.6,9387.7,19362.77,33.8843,55.3571,22.4806,38.5965,1517.2939,#N/A N/A,15.385,90,77,87,90,@RepublicService,11473,2748,40553.13788,76.42,2.12,1,27.04471101,8.942202835,5.682926829,3.12195122,24.75,134.5387205,29.8047138,72.72727273,24.91582492,87.78378378,23.62162162
19,RSG US EQUITY,2017,35000,7961.1,1278.4,10041.5,22426.237,40.9091,66.0714,28.6822,43.8596,1369.0484,18,27.273,96,96,75,100,@RepublicService,11473,2748,40553.13788,90.33,2.94,0.91,24.63099631,6.734317343,8.219178082,3.04109589,30.58333333,122.2643052,24.16076294,76.02179837,23.97820163,96.92045455,20.55681818
19,RSG US EQUITY,2018,36000,7929.5,1036.9,10040.9,23249.025,42.1488,66.0714,33.3333,38.5965,1344.5607,19,33.333,85,90,75,95,@RepublicService,11473,2748,40553.13788,142.58,1.68,0.48,17.35827002,8.649912332,7.013513514,2.898648649,28.83333333,85.36127168,24.3699422,72.83236994,38.7283237,71.48507463,34.91791045
20,WM US EQUITY,2016,41200,5320,1182,13609,31151.8888,39.6694,60.7143,31.7829,36.8421,1167.0218,#N/A N/A,18.182,70,70,67,93,@WasteManagement,39426,1457,39777.94412,190.92,4.9,2.76,32.03841117,14.92797905,9.105263158,6.935672515,23.66666667,192.2183099,44.22183099,74.64788732,30.28169014,58.6744186,20.70930233
20,WM US EQUITY,2017,42300,6042,1949,14485,37395.4213,59.5041,66.0714,53.4884,66.6667,1100.0897,17,22.222,67,58,71,96,@WasteManagement,39426,1457,39777.94412,260.83,3.67,1.42,17.22044728,6.485623003,14.83743842,7.655172414,21.66666667,325.7038462,48.46538462,56.15384615,21.92307692,204.0175439,36.89473684
20,WM US EQUITY,2018,43700,6276,1925,14914,37730.2569,52.0661,66.0714,52.7132,36.8421,1107.5633,#N/A N/A,25,100,80,95,100,@WasteManagement,39426,1457,39777.94412,265.83,6.54,2.51,10.72100313,8.589341693,38.35036496,19.06569343,20.83333333,230.672,173.408,51.2,30.4,276.4078947,450.8157895
21,NKE US EQUITY,2016,70700,12258,3760,32376,92880.04,62.6794,66.0714,62.5,59.6491,6.0199,48,23.077,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@Nike,7807276,117,40865.9384,632.67,17.04,7.39,22.55005269,0,0,0,0.333333333,11168.5,1101,100,0,0,0
21,NKE US EQUITY,2017,74400,12407,4240,34350,87062.57,56.9378,66.0714,53.125,54.386,9.1964,48,25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@Nike,7807276,117,40865.9384,337.67,32.6,13.81,15.32576505,0,0,0,0.583333333,24444.85714,3055.571429,85.71428571,0,0,0
21,NKE US EQUITY,2018,73100,9812,1933,36397,114951.8,56.9378,71.4286,53.125,49.1228,8.2711,49,16.667,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@Nike,7807276,117,40865.9384,185.08,781.29,280.9,6.753714543,0.090049527,1,0,0.166666667,26435.5,4790.5,50,0,0,0
