"","unix","low","high","open","close","BTC-USD volume"
"32",1648080000,42627.48,44241,42899.71,44012.29,21827.93263859
"33",1647993600,41766.79,43036.95,42376.03,42899.71,13745.27563632
"34",1647907200,40885.19,43389.79,41017.7,42378.26,19913.28660924
"35",1647820800,40509,41578.33,41287.24,41017.71,10996.47661055
"36",1647734400,40918.72,42330.1,42232.05,41287.24,7621.03036678
"37",1647648000,41534.89,42429,41781.37,42232.26,8630.97283924
"38",1647561600,40130,42396.04,40950.23,41774.98,17181.15226772
"39",1647475200,40521,41486,41127.96,40950.33,15717.77421989
"40",1647388800,38850,41717.67,39298.11,41127.97,22805.48259593
"41",1647302400,38135,39900,39678.51,39298.1,14924.67641882
"42",1647216000,37560.4,39906.39,37793.4,39674.17,13566.81093809
"43",1647129600,37580.86,39318.19,38815.56,37793.01,8046.37612453
"44",1647043200,38654.02,39472.17,38732.33,38813.02,5644.14686801
"45",1646956800,38234.08,40251.51,39431.4,38732.04,15908.57521389
"46",1646870400,38560.85,42053.84,41949.28,39433.71,20814.01456026
"47",1646784000,38655.98,42597.84,38749.16,41953.97,24651.67344036
"48",1646697600,37851.54,39376.65,37991.05,38749.38,19132.76914326
"49",1646611200,37161.88,39556.58,38406.82,37994,19544.28414901
"50",1646524800,38091.02,39730.5,39407.87,38408.38,10099.98545246
"51",1646438400,38587.27,39600,39166.5,39402.43,8440.51638896
"52",1646352000,38577.01,42524.87,42464.41,39166.51,24080.60599433
"53",1646265600,41811,44096.45,43916.47,42464.41,19278.28224695
"54",1646179200,43342.16,45426.45,44440,43912.34,17466.98591437
"55",1646092800,42850,44993.12,43189.61,44439.95,22596.96095342
"56",1646006400,37455.71,44240.77,37716.57,43192.66,25699.68423401
"57",1645920000,37020,39875.71,39146.97,37717.08,14440.23638182
"58",1645833600,38592.04,40300.5,39242.71,39137.8,8601.67109728
"59",1645747200,38016.44,39716,38347.3,39238.48,20761.66924479
"60",1645660800,34322,39720,37268.18,38347.3,42124.51876077
"61",1645574400,37055,39276.85,38251.67,37268.19,15510.11329997
"62",1645488000,36350,38469.06,37022.11,38251.48,22767.08772002
"63",1645401600,36811,39506.91,38395.99,37023,20970.76378699
"64",1645315200,38000,40146.07,40101.93,38389.03,10972.32175685
"65",1645228800,39655,40469.82,39993.64,40101.94,6277.30201343
